lng,lat
-76.53,39.28
-76.53,39.28
-108.4,45.7
-86.4,32.3
-94.52,39.13
-80.09,26.66
-85.29,35.0
-96.59,33.18
-94.52,39.13
-119.9,39.5
-79.9,40.36
-95.7,30.2
-84.61,39.02
-84.33,33.58
-80.3,25.78
-95.57,29.87
-122.75,38.39
-120.7,37.6
-87.9,46.6
-117.58,34.1
-108.1,39.7
-108.1,39.7
-95.56,29.63
-79.82,34.21
-82.1,41.4
-95.3,45.6
-80.23,25.8
-96.94,32.69
-74.41,40.57
-108.1,39.7
-94.52,39.13
-76.53,39.28
-80.37,25.85
-74.28,40.61
-86.4,39.68
-85.4,33.4
-106.4,31.81
-82.9,39.6
-74.17,40.7
-80.31,25.82
-104.96,39.64
-89.8,34.9
-82.87,40.03
-81.2,41.71
-95.27,29.27
-82.12,34.91
-74.28,40.61
-97.3,26.0
-76.72,39.17
-76.24,39.48
-82.9,39.6
-82.87,40.03
-104.88,39.88
-104.88,39.88
-108.55,39.07
-80.6,33.2
-95.04,29.69
-98.2,26.2
-88.3,44.2
-95.34,29.86
-80.3,25.78
-123.1,43.9
-119.82,36.76
-84.56,39.02
-87.99,42.01
-80.09,26.66
-87.99,42.01
-74.41,40.57
-85.5,36.2
-79.7,36.5
-97.47,32.84
-78.3,39.2
-75.15,39.93
-97.71,30.38
-118.24,33.87
-93.24,45.02
-80.6,33.2
-86.25,32.37
-77.48,39.05
-92.3,32.6
-77.47,38.99
-76.5,39.26
-109.7,41.9
-74.17,40.67
-95.66,29.83
-80.36,25.79
-95.66,29.83
-80.36,25.79
-81.5,30.5
-75.59,40.58
-82.48,35.46
-80.31,25.82
-98.4,26.2
-77.1,35.1
-77.1,35.1
-74.27,40.69
-89.8,34.9
-71.57,43.43
-79.92,37.27
-86.23,39.9
-117.93,34.03
-106.4,31.81
-76.53,39.28
-74.28,40.61
-82.5,35.3
-80.02,32.93
-117.71,33.59
-76.34,36.84
-117.7,34.01
-74.17,40.7
-80.06,26.46
-97.0,37.3
-86.5,36.2
-94.77,29.31
-94.77,29.31
-99.6,27.8
-96.9,47.9
-71.1,44.3
-94.52,38.88
-81.91,28.04
-94.77,29.31
-80.6,35.7
-87.95,41.96
-88.25,43.15
-76.34,36.84
-76.34,36.84
-71.02,42.37
-80.26,25.9
-74.18,40.67
-76.34,36.84
-89.86,35.06
-76.8,39.15
-94.77,29.31
-76.34,36.84
-86.5,36.2
-82.2,34.9
-90.78,42.53
-94.77,29.31
-80.09,26.66
-76.34,36.84
-82.87,39.97
-80.23,25.8
-99.6,27.8
-99.6,27.8
-76.34,36.84
-76.34,36.84
-73.39,41.38
-76.34,36.84
-83.3,36.2
-99.6,27.8
-74.34,40.46
-76.34,36.84
-72.74,41.94
-83.3,36.2
-97.65,35.45
-80.09,26.66
-106.9,44.8
-74.17,40.67
-70.8,43.07
-76.34,36.84
-76.34,36.84
-74.94,40.1
-76.34,36.84
-95.57,29.87
-86.2,43.09
-83.7,37.6
-80.27,26.14
-86.23,39.9
-74.17,40.67
-80.09,26.66
-76.34,36.84
-105.5,43.9
-96.2,36.2
-96.2,36.2
-76.72,39.17
-80.12,26.09
-82.87,40.03
-86.9,39.7
-85.5,36.2
-106.4,31.81
-81.2,41.1
-74.17,40.67
-74.28,40.61
-86.34,41.72
-81.2,41.1
-95.66,29.83
-77.0,39.97
-95.45,29.92
-80.09,26.66
-88.5,33.4
-84.6,40.1
-95.03,29.58
-74.17,40.7
-87.67,41.78
-71.1,44.3
-80.32,25.8
-82.87,40.03
-94.77,29.31
-119.82,36.76
-95.57,29.87
-87.0,33.3
-84.56,39.02
-94.61,39.14
-98.2,26.2
-82.12,34.91
-94.77,29.31
-80.37,25.85
-118.2,33.76
-83.14,39.96
-95.29,30.01
-97.0,30.6
-99.6,27.8
-77.26,37.51
-87.97,41.79
-80.32,25.8
-99.6,27.8
-81.2,35.7
-82.87,40.03
-74.17,40.7
-73.97,40.6
-95.04,29.69
-80.3,25.78
-80.32,25.8
-80.93,35.12
-89.3,43.1
-83.6,34.1
-81.91,28.04
-81.91,28.04
-74.17,40.67
-71.1,44.3
-118.9,46.2
-81.91,28.04
-76.72,39.17
-77.0,39.97
-79.9,36.7
-99.6,27.8
-87.67,34.83
-89.08,42.19
-74.94,40.1
-77.3,37.4
-80.32,25.8
-97.4,42.9
-111.85,40.49
-89.0,43.0
-72.74,41.85
-112.4,33.3
-74.94,40.1
-80.12,26.09
-73.97,40.6
-118.24,33.87
-80.23,25.8
-82.12,34.91
-95.44,29.86
-71.1,44.3
-94.77,29.31
-93.43,45.01
-81.44,41.32
-80.09,26.66
-83.35,42.2
-74.94,40.1
-80.4,25.9
-97.74,30.18
-94.77,29.31
-94.77,29.31
-74.28,40.61
-106.4,31.81
-79.93,40.14
-99.5,27.51
-76.4,36.7
-79.5,36.0
-112.01,33.43
-80.37,25.85
-80.32,25.8
-118.23,34.11
-73.97,40.6
-95.24,29.8
-75.23,40.22
-82.28,34.69
-71.1,44.3
-89.4,41.7
-94.77,29.31
-81.9,41.1
-83.92,33.93
-94.77,29.31
-74.17,40.67
-83.9,41.6
-83.9,41.6
-82.12,34.91
-71.1,44.3
-83.9,41.6
-83.9,41.6
-83.9,41.6
-81.18,32.12
-84.2,34.2
-87.65,41.61
-90.26,32.24
